name,category,city,state,rating,review_count,yelp_url
Revive Auto Center,Auto Dealer,Phoenix,AZ,4.8,29,https://www.yelp.com/biz/revive-auto-center-phoenix
Daily Chew,Restaurant,Atlanta,GA,4.6,81,https://www.yelp.com/biz/daily-chew-atlanta
Lewis Barbecue,Restaurant,Atlanta,GA,4.5,72,https://www.yelp.com/biz/lewis-barbecue-atlanta
La Mixteca Tamale House,Restaurant,Atlanta,GA,4.5,30,https://www.yelp.com/biz/la-mixteca-tamale-house-atlanta
Social Capitol,Restaurant,Atlanta,GA,4.3,15,https://www.yelp.com/biz/social-capitol-atlanta-2
Le Parc Cafe,Restaurant,Miami,FL,4.3,74,https://www.yelp.com/biz/le-parc-cafe-miami
Chef Allen's Farm to Table,Restaurant,Miami,FL,4.6,14,https://www.yelp.com/biz/chef-allens-farm-to-table-miami
Cafe L'Artisan,Restaurant,Miami,FL,5.0,1,https://www.yelp.com/biz/cafe-l-artisan-no-title
Norman's Japanese Grill,Restaurant,Dallas,TX,4.4,67,https://www.yelp.com/biz/normans-japanese-grill-dallas
Point Easy,Restaurant,Denver,CO,4.7,82,https://www.yelp.com/biz/point-easy-denver
Ma's Kitchen Next Door,Restaurant,Denver,CO,4.7,51,https://www.yelp.com/biz/mas-kitchen-next-door-denver
Kimchi Korean BBQ,Restaurant,Phoenix,AZ,4.9,47,https://www.yelp.com/biz/kimchi-korean-bbq-phoenix-2
Briarcliff Dental Group,Dental,Atlanta,GA,4.5,36,https://www.yelp.com/biz/briarcliff-dental-group-family-and-cosmetic-dentistry-atlanta
"Michael A Bens, DMD",Dental,Atlanta,GA,5.0,8,https://www.yelp.com/biz/michael-a-bens-dmd-atlanta
Henderson Mill Dental Care,Dental,Atlanta,GA,4.5,18,https://www.yelp.com/biz/henderson-mill-dental-care-atlanta
Providence Family Dentistry,Dental,Atlanta,GA,4.7,44,https://www.yelp.com/biz/providence-family-dentistry-mableton
Buckhead Dental Associates,Dental,Atlanta,GA,4.6,30,https://www.yelp.com/biz/buckhead-dental-associates-atlanta-2
Blue Creek Dental,Dental,Atlanta,GA,4.5,73,https://www.yelp.com/biz/blue-creek-dental-decatur
Midtown Dental Center,Dental,Atlanta,GA,3.9,49,https://www.yelp.com/biz/midtown-dental-center-atlanta
Modern Dental,Dental,Atlanta,GA,4.3,96,https://www.yelp.com/biz/modern-dental-atlanta
"Paul Freeman, DDS",Dental,Atlanta,GA,4.6,63,https://www.yelp.com/biz/paul-freeman-dds-atlanta-dentistry-by-design-atlanta-2
Ultra Smile DentaSpa,Dental,Miami,FL,3.5,17,https://www.yelp.com/biz/ultra-smile-dentaspa-miami-3
Midtown Dental Miami,Dental,Miami,FL,4.1,46,https://www.yelp.com/biz/midtown-dental-miami-miami
Miami Dentistry Center,Dental,Miami,FL,4.7,40,https://www.yelp.com/biz/miami-dentistry-center-miami-2
Miami Beach Smiles,Dental,Miami,FL,4.9,79,https://www.yelp.com/biz/miami-beach-smiles-miami-beach-2
"Raul G Molina, DDS",Dental,Miami,FL,4.2,9,https://www.yelp.com/biz/raul-g-molina-dds-pa-miami-2
Miami Dental Sedation Spa,Dental,Miami,FL,4.9,41,https://www.yelp.com/biz/miami-dental-sedation-spa-miami
Doral Dental Studio,Dental,Miami,FL,5.0,7,https://www.yelp.com/biz/doral-dental-studio-miami
Amores Dental Care,Dental,Miami,FL,4.8,87,https://www.yelp.com/biz/amores-dental-care-miami
Accord Dental Professional,Dental,Denver,CO,4.4,38,https://www.yelp.com/biz/accord-dental-professional-denver
Sierra Dental & Orthodontics,Dental,Denver,CO,4.7,67,https://www.yelp.com/biz/sierra-dental-and-orthodontics-river-north-denver-2
Dentists of Washington Park,Dental,Denver,CO,4.3,4,https://www.yelp.com/biz/dentists-of-washington-park-denver-2
Levin Family Dental,Dental,Denver,CO,4.4,67,https://www.yelp.com/biz/levin-family-dental-denver
Sloanside Dental,Dental,Denver,CO,4.6,73,https://www.yelp.com/biz/sloanside-dental-edgewater
Nouvelle Dentistry,Dental,Denver,CO,4.7,93,https://www.yelp.com/biz/nouvelle-dentistry-greenwood-village
Affinity Family Dental,Dental,Denver,CO,4.8,19,https://www.yelp.com/biz/affinity-family-dental-denver-2
Dayton Dental,Dental,Denver,CO,5.0,28,https://www.yelp.com/biz/dayton-dental-denver-2
South Metro Dentistry,Dental,Denver,CO,5.0,50,https://www.yelp.com/biz/south-metro-dentistry-centennial
